god1,god2,nodes,plies_played,min_depth_reached,mean_depth_reached,final_eval,mean_eval,max_abs_eval,is_decisive,ended_early,evals,seconds
Proteus,Clio,200000,8,3,8.5,171,206.625,450,false,false,450;298;195;435;-86;-5;195;171,3.8659813
Proteus,Bia,200000,8,3,8.25,385,137.875,385,false,false,-292;-293;248;346;193;298;218;385,5.285051
Proteus,Morpheus,200000,8,3,7.25,-704,-658.625,910,false,false,-104;-470;-680;-910;-887;-810;-704;-704,14.999767
Proteus,Zeus,200000,8,2,7.625,1046,795.375,1063,false,false,767;666;782;721;659;659;1063;1046,3.9243283
Proteus,Eros,200000,8,3,7.5,429,243.625,429,false,false,45;139;185;245;178;375;353;429,2.9704454
Proteus,Ares,200000,8,3,6.25,900,920.375,948,false,false,870;936;944;931;931;903;948;900,4.6820536
Proteus,Scylla,200000,8,2,5.75,-488,-79.375,488,false,false,137;41;-39;-15;-100;-79;-92;-488,4.1002426
Proteus,Selene,200000,8,3,6.875,884,857.25,935,false,false,935;836;846;873;888;795;801;884,6.540395
Proteus,Charon,200000,8,2,6.125,-2157,-2205.75,2289,false,false,-2289;-2238;-2217;-2205;-2219;-2180;-2141;-2157,4.364894
Proteus,Hippolyta,200000,8,3,8.0,-661,-683.0,839,false,false,-741;-711;-718;-839;-838;-702;-254;-661,6.1501813
Proteus,Pegasus,200000,8,2,7.0,1520,1208.25,1520,false,false,1142;1159;1028;1064;1074;1322;1357;1520,2.7971315
Proteus,Hydra,200000,8,2,6.625,-775,-491.0,775,false,false,-243;-430;-375;-305;-578;-497;-725;-775,2.2974455
Proteus,Asteria,200000,8,2,6.75,-558,-373.125,558,false,false,-99;-265;-370;-384;-378;-451;-480;-558,2.8512347
Proteus,ApolloV2,200000,8,2,6.75,-1123,-894.125,1123,false,false,-638;-752;-747;-873;-935;-1027;-1058;-1123,2.0059605
Proteus,Iris,200000,8,3,6.875,-317,171.5,439,false,false,439;295;243;314;365;-32;65;-317,1.699081
Proteus,Medusa,200000,8,3,8.375,431,218.375,431,false,false,-117;120;109;211;305;270;418;431,2.024332
Proteus,Castor,200000,8,3,7.375,-172,-77.375,189,false,false,-42;-61;-87;-12;-3;-53;-189;-172,2.183965
Proteus,CharonV2,200000,8,3,7.5,135,182.375,257,false,false,193;218;208;257;208;127;113;135,2.0170383
Proteus,Nike,200000,8,2,7.0,896,972.125,1043,false,false,1015;1018;994;1043;898;1017;896;896,1.9677402
Proteus,Nemesis,200000,8,2,7.0,1121,1025.875,1161,false,false,1066;961;950;891;906;1161;1151;1121,2.0197465
Proteus,Bellerophon,200000,8,3,7.0,314,222.75,314,false,false,245;180;169;231;166;224;253;314,2.0150917
Proteus,Proteus,200000,8,1,7.125,2313,447.0,2313,false,false,-226;-22;14;-33;128;621;781;2313,12.793606
Proteus,Poseidon,200000,8,2,4.75,-1324,-933.5,1324,false,false,-439;-841;-978;-796;-1030;-1030;-1030;-1324,4.680027
Proteus,Chronus,200000,8,2,7.25,2394,1388.5,2394,false,false,1259;1240;1128;1202;1146;1263;1476;2394,1.8465521
Proteus,Theseus,200000,8,3,7.125,1696,1704.0,1869,false,false,1672;1681;1655;1659;1869;1722;1678;1696,1.9235637
Proteus,Jason,200000,8,3,6.875,395,341.625,517,false,false,517;255;350;281;323;308;304;395,2.206876
Proteus,Polyphemus,200000,8,2,4.625,917,905.625,985,false,false,884;817;878;985;901;946;917;917,10.531849
Proteus,Achilles,200000,8,3,7.375,140,284.5,849,false,false,849;358;207;260;133;188;141;140,2.801093
Proteus,Chronus4T,200000,8,2,6.75,1182,1185.0,1290,false,false,1290;1239;1128;1116;1167;1161;1197;1182,1.9087576
Proteus,Chronus3T,200000,8,2,6.625,1482,1272.625,1482,false,false,1297;1240;1124;1160;1334;1196;1348;1482,1.9572468
Asteria,Mortal,200000,8,3,7.0,2237,2334.875,2440,false,false,2367;2440;2228;2358;2368;2322;2359;2237,2.1715937
Proteus,Terpsichore,200000,8,3,5.875,-9992,-1908.75,9992,true,false,156;-206;-391;-606;-1205;-1457;-1569;-9992,3.346444
Asteria,Pan,200000,8,5,7.375,402,404.0,471,false,false,471;395;418;382;391;371;402;402,2.305594
Asteria,Hephaestus,200000,8,3,7.25,-738,-646.375,738,false,false,-448;-679;-586;-617;-730;-648;-725;-738,2.0605917
Asteria,Artemis,200000,8,3,5.625,30,-25.875,66,false,false,-56;-14;-66;-17;-66;5;-23;30,2.361173
Asteria,Atlas,200000,8,3,6.25,682,692.125,796,false,false,796;746;672;707;672;620;642;682,2.1385083
Asteria,Minotaur,200000,8,3,6.5,186,107.125,248,false,false,22;80;-6;88;88;151;248;186,2.0174026
Asteria,Athena,200000,8,3,7.0,-257,-282.5,340,false,false,-301;-253;-277;-291;-340;-284;-257;-257,2.134597
Asteria,Demeter,200000,8,4,6.375,-432,-444.25,481,false,false,-420;-406;-481;-467;-476;-464;-408;-432,2.8384397
Asteria,Apollo,200000,8,3,6.25,-959,-1083.375,1217,false,false,-1101;-1217;-1127;-1080;-1095;-1045;-1043;-959,2.090734
Proteus,Stymphalians,200000,8,2,6.25,1239,1270.25,1378,false,false,1144;1280;1297;1378;1292;1277;1255;1239,13.072873
Asteria,Hermes,200000,8,3,4.875,129,97.375,147,false,false,147;51;142;62;20;111;117;129,4.2472067
Asteria,Prometheus,200000,8,4,6.875,-2008,-1737.5,2008,false,false,-1552;-1511;-1551;-1799;-1762;-1879;-1838;-2008,2.8710659
Asteria,Urania,200000,8,4,6.375,173,166.625,212,false,false,118;151;174;212;161;208;136;173,2.506548
Asteria,Limus,200000,8,4,7.25,-390,-410.0,458,false,false,-458;-438;-396;-448;-363;-397;-390;-390,1.9205966
Asteria,Hera,200000,8,3,6.125,293,215.5,293,false,false,146;192;214;214;148;254;263;293,2.1985865
Asteria,Hypnus,200000,8,3,7.375,-861,-910.375,957,false,false,-935;-866;-920;-936;-876;-932;-957;-861,2.0721886
Asteria,Aphrodite,200000,8,3,6.625,-653,-580.875,653,false,false,-507;-524;-567;-628;-581;-611;-576;-653,1.8993742
Asteria,Harpies,200000,8,3,7.75,-139,-117.5,170,false,false,-155;-170;-164;-94;-128;-44;-46;-139,2.1072178
Asteria,Persephone,200000,8,4,6.75,830,732.25,830,false,false,666;667;680;696;696;803;820;830,2.0718124
Asteria,Graeae,200000,8,3,6.125,-482,-516.0,595,false,false,-496;-595;-522;-502;-523;-523;-485;-482,5.3789654
Asteria,Aeolus,200000,8,3,5.375,-918,-910.375,1010,false,false,-850;-899;-796;-941;-990;-879;-1010;-918,2.5769675
Asteria,Hestia,200000,8,5,7.75,-729,-648.0,729,false,false,-560;-558;-591;-676;-726;-615;-729;-729,2.8710003
Asteria,Europa,200000,8,3,5.125,363,321.375,411,false,false,271;311;286;317;317;411;295;363,2.5136833
Asteria,Maenads,200000,8,3,6.0,1057,810.875,1057,false,false,453;596;730;730;907;1007;1007;1057,1.3872542
Asteria,Bia,200000,8,5,7.625,440,206.875,440,false,false,-117;-270;270;258;352;392;330;440,2.189507
Asteria,Clio,200000,8,3,6.875,-136,-87.375,210,false,false,149;-61;-64;-110;-99;-210;-168;-136,2.000298
Asteria,Zeus,200000,8,4,6.25,23,-31.625,82,false,false,-68;-82;-41;-18;-45;7;-29;23,3.077854
Asteria,Eros,200000,8,6,7.75,63,83.5,136,false,false,42;123;114;136;118;9;63;63,2.6595213
Asteria,Ares,200000,8,3,5.625,513,495.75,525,false,false,525;518;504;506;453;476;471;513,3.8478088
Asteria,Hippolyta,200000,8,4,7.25,329,269.625,329,false,false,256;267;253;324;294;265;169;329,4.659114
Asteria,Selene,200000,8,3,6.375,1012,996.125,1135,false,false,1135;928;995;995;872;991;1041;1012,5.3372903
Asteria,Scylla,200000,8,3,6.125,-623,-603.75,641,false,false,-527;-601;-640;-641;-616;-600;-582;-623,4.8937507
Asteria,Charon,200000,8,3,6.375,-417,-363.25,475,false,false,-419;-397;-395;-335;-234;-234;-475;-417,4.273991
Asteria,Pegasus,200000,8,4,6.75,905,827.0,905,false,false,807;760;800;811;853;775;905;905,4.737572
Asteria,Hydra,200000,8,2,5.75,-893,-821.375,893,false,false,-812;-791;-838;-768;-807;-822;-840;-893,5.055316
Asteria,Asteria,200000,8,5,6.0,84,50.625,91,false,false,39;46;23;37;0;91;85;84,6.563055
Asteria,Proteus,200000,8,3,6.75,102,143.125,175,false,false,150;153;106;175;155;152;152;102,10.0303545
Asteria,Iris,200000,8,3,6.25,852,949.375,1113,false,false,1113;1108;1035;977;889;910;711;852,2.9075987
Asteria,ApolloV2,200000,8,3,5.875,-73,-184.125,262,false,false,-217;-228;-262;-163;-191;-137;-202;-73,4.017462
Asteria,Medusa,200000,8,3,7.625,284,159.875,284,false,false,-14;155;129;150;150;269;156;284,5.016502
Asteria,Morpheus,200000,8,4,6.75,-389,-233.0,389,false,false,-93;-127;-164;-190;-247;-265;-389;-389,30.714254
Asteria,CharonV2,200000,8,3,6.625,294,123.875,300,false,false,36;31;-7;41;41;255;300;294,4.2799745
Asteria,Castor,200000,8,4,6.125,-149,-101.875,149,false,false,-112;-41;-122;-79;-92;-95;-125;-149,5.3048496
Asteria,Nemesis,200000,8,3,6.0,147,28.375,147,false,false,-61;-35;-44;-32;65;90;97;147,3.9484906
Asteria,Nike,200000,8,5,7.25,790,754.5,793,false,false,667;706;793;764;782;781;753;790,4.5380583
Asteria,Theseus,200000,8,4,6.625,1542,1531.125,1589,false,false,1589;1530;1404;1500;1555;1555;1574;1542,2.7660544
Asteria,Bellerophon,200000,8,3,6.125,129,89.625,129,false,false,31;107;69;106;106;118;51;129,2.9260986
Asteria,Poseidon,200000,8,3,5.625,-9994,-2089.375,9994,true,false,-482;-692;-763;-734;-1326;-1326;-1398;-9994,7.7251563
Asteria,Jason,200000,8,3,5.625,40,72.75,177,false,false,177;40;147;-73;41;163;47;40,2.0740366
Asteria,Achilles,200000,8,3,6.5,910,961.125,1097,false,false,1097;976;982;853;956;986;929;910,3.219658
Asteria,Terpsichore,200000,8,3,5.75,-338,-357.0,499,false,false,-195;-347;-381;-358;-499;-400;-338;-338,3.0356722
Hydra,Mortal,200000,8,3,6.625,2243,2107.625,2243,false,false,2115;2162;2037;2056;1942;2099;2207;2243,1.8155752
Asteria,Stymphalians,200000,8,2,5.5,1896,1926.875,2125,false,false,2125;2018;1907;1872;1817;1895;1885;1896,4.908508
Hydra,Pan,200000,8,3,6.25,532,549.0,620,false,false,565;620;574;577;472;453;599;532,1.8434703
Hydra,Artemis,200000,8,3,5.875,1366,1183.375,1429,false,false,965;1056;1106;1154;1098;1429;1293;1366,2.1873653
Hydra,Hephaestus,200000,8,3,6.375,-1640,-721.0,1640,false,false,-463;-440;-403;-210;-448;-584;-1580;-1640,1.8352906
Hydra,Atlas,200000,8,3,6.5,1120,1155.0,1309,false,false,1309;1209;1139;1147;1099;1061;1156;1120,2.0786388
Hydra,Athena,200000,8,3,6.75,549,176.875,549,false,false,147;78;56;101;147;208;129;549,1.9360979
Asteria,Polyphemus,200000,8,3,4.5,1820,1751.375,1879,false,false,1689;1689;1846;1825;1825;1879;1438;1820,19.348215
Hydra,Minotaur,200000,8,3,5.875,238,327.75,412,false,false,320;412;307;382;377;336;250;238,1.8723133
Hydra,Apollo,200000,8,3,5.75,-1325,-1336.875,1514,false,false,-1514;-1385;-1258;-1219;-1340;-1365;-1289;-1325,1.8906946
Hydra,Demeter,200000,8,3,7.375,163,-38.0,272,false,false,33;-28;-32;-132;-272;40;-76;163,2.6641712
Hydra,Prometheus,200000,8,3,6.375,-535,-449.625,543,false,false,-543;-487;-418;-337;-500;-395;-382;-535,2.9533732
Hydra,Urania,200000,8,3,5.875,738,646.0,764,false,false,509;480;729;597;613;764;738;738,1.963691
Hydra,Hermes,200000,8,3,4.5,1086,900.625,1086,false,false,605;738;846;953;883;1020;1074;1086,4.3766694
Hydra,Limus,200000,8,3,6.5,690,650.0,712,false,false,686;598;539;630;671;674;712;690,1.8011842
Hydra,Hera,200000,8,3,6.0,300,242.0,338,false,false,165;137;162;296;240;338;298;300,1.9188391
Hydra,Hypnus,200000,8,3,6.5,626,453.5,626,false,false,356;377;236;467;390;587;589;626,1.8357406
Hydra,Graeae,200000,8,2,6.25,863,754.625,863,false,false,557;777;704;803;762;844;727;863,5.0458565
Hydra,Harpies,200000,8,3,6.875,1244,1228.25,1291,false,false,1291;1196;1200;1149;1172;1287;1287;1244,1.9918754
Hydra,Aphrodite,200000,8,3,6.5,1147,996.0,1218,false,false,947;850;985;985;919;917;1218;1147,2.152697
Hydra,Persephone,200000,8,3,8.25,-410,-383.875,523,false,false,-152;-285;-362;-508;-523;-437;-394;-410,1.7217994
Hydra,Hades,200000,8,3,6.625,2036,2080.5,2159,false,false,2108;2134;2159;2039;2083;2027;2058;2036,1.8825455
Hydra,Aeolus,200000,8,3,5.625,-432,-512.875,583,false,false,-507;-457;-529;-518;-547;-583;-530;-432,2.945546
Hydra,Hestia,200000,8,3,6.125,-434,-249.625,434,false,false,-37;-107;-229;-148;-276;-358;-408;-434,2.489508
Hydra,Europa,200000,8,3,5.125,592,559.875,623,false,false,522;589;581;562;516;623;494;592,2.6663165
Hydra,Bia,200000,8,4,7.25,1731,781.875,1731,false,false,-1087;-1219;1117;1220;1359;1558;1576;1731,1.6406592
Hydra,Clio,200000,8,4,6.25,1077,952.625,1077,false,false,1074;945;734;1014;773;1042;962;1077,1.9620118
Hydra,Maenads,200000,8,2,5.0,381,435.375,552,false,false,353;467;552;429;456;402;443;381,0.88391453
Hydra,Eros,200000,8,4,7.375,-203,-111.625,235,false,false,-55;-45;-15;-113;-90;-137;-235;-203,1.2750373
Hydra,Zeus,200000,8,3,6.375,1344,1128.5,1344,false,false,975;1058;1115;1024;1233;986;1293;1344,2.004065
Hydra,Ares,200000,8,3,5.5,1446,1336.75,1446,false,false,1343;1244;1286;1332;1320;1401;1322;1446,2.4587715
Hydra,Hippolyta,200000,8,3,6.75,-25,-44.625,133,false,false,-24;44;-112;-84;-33;10;-133;-25,1.7685206
Hydra,Selene,200000,8,3,6.125,1482,1379.625,1482,false,false,1295;1392;1335;1349;1320;1432;1432;1482,2.495685
Hydra,Scylla,200000,8,3,5.375,-765,-630.5,817,false,false,-456;-453;-487;-716;-584;-766;-817;-765,2.423646
Hydra,Pegasus,200000,8,3,6.25,1556,1573.0,1651,false,false,1651;1581;1560;1571;1559;1523;1583;1556,1.8871183
Hydra,Charon,200000,8,3,5.75,-884,-809.0,1000,false,false,-696;-928;-809;-820;-636;-699;-1000;-884,2.4053125
Hydra,Hydra,200000,8,2,5.875,239,167.375,260,false,false,50;163;157;207;120;143;260;239,2.5961943
Hydra,Asteria,200000,8,3,5.75,975,890.0,976,false,false,756;918;918;803;841;976;933;975,3.2900589
Hydra,Morpheus,200000,8,3,6.625,216,294.875,384,false,false,384;315;316;377;207;272;272;216,14.727715
Hydra,Proteus,200000,8,3,6.625,929,681.5,929,false,false,571;580;431;609;737;825;770;929,5.150005
Hydra,ApolloV2,200000,8,3,6.0,206,21.125,206,false,false,-120;-140;-44;0;29;139;99;206,1.8856113
Hydra,Iris,200000,8,3,6.5,1310,1272.125,1330,false,false,1330;1312;1234;1171;1251;1259;1310;1310,1.4501728
Hydra,Medusa,200000,8,3,7.75,1295,951.75,1295,false,false,526;739;808;912;995;1167;1172;1295,1.9851412
Hydra,Castor,200000,8,3,6.625,748,497.125,748,false,false,599;237;314;410;410;539;720;748,2.1243756
Hydra,CharonV2,200000,8,3,6.625,-277,-175.875,327,false,false,-138;-167;-197;-159;-134;-327;-8;-277,1.947902
Hydra,Nike,200000,8,2,6.25,1620,1518.375,1795,false,false,1271;1491;1795;1548;1508;1388;1526;1620,1.7730095
Hydra,Nemesis,200000,8,3,6.875,1950,2081.0,2176,false,false,2169;2176;2086;2160;2129;1989;1989;1950,1.946033
Hydra,Bellerophon,200000,8,3,6.375,1532,1374.875,1532,false,false,1295;1317;1104;1397;1426;1453;1475;1532,1.7381684
Hydra,Poseidon,200000,8,1,3.0,-9998,-5433.5,9998,true,false,-184;-330;-1484;-1484;-9995;-9996;-9997;-9998,2.886664
Hydra,Chronus,200000,8,3,6.0,1505,1328.375,1534,false,false,1224;1246;1284;1198;1340;1534;1296;1505,2.0234056
Hydra,Theseus,200000,8,3,6.875,2233,2124.125,2233,false,false,2194;2069;1935;2077;2158;2171;2156;2233,1.8563107
Hydra,Jason,200000,8,3,6.625,1603,1593.5,1672,false,false,1640;1512;1524;1595;1672;1644;1558;1603,2.068608
Hydra,Polyphemus,200000,8,2,5.75,1778,1583.75,1877,false,false,1418;1384;1224;1555;1677;1757;1877;1778,7.1607714
Hydra,Achilles,200000,8,3,5.875,1301,1006.375,1301,false,false,1153;781;820;898;940;956;1202;1301,2.945416
Hydra,Chronus4T,200000,8,3,5.875,1240,1234.5,1289,false,false,1224;1289;1245;1269;1182;1257;1170;1240,1.8948183
Hydra,Chronus3T,200000,8,3,6.375,1397,1336.625,1413,false,false,1224;1246;1284;1320;1413;1413;1396;1397,2.402001
ApolloV2,Mortal,200000,8,4,8.375,2233,2243.0,2347,false,false,2218;2215;2252;2204;2191;2347;2284;2233,2.7272875
ApolloV2,Pan,200000,8,4,7.0,249,197.375,321,false,false,321;266;208;156;201;108;70;249,3.3716328
Hydra,Stymphalians,200000,8,3,5.375,2445,2350.0,2486,false,false,2247;2355;2398;2486;2044;2380;2445;2445,7.64693
Hydra,Terpsichore,200000,8,3,5.375,-9992,-1947.0,9992,true,false,597;279;-535;-569;-1447;-1447;-2462;-9992,6.2164626
ApolloV2,Artemis,200000,8,3,5.625,334,385.0,438,false,false,438;405;375;434;376;427;291;334,3.6501317
ApolloV2,Hephaestus,200000,8,4,9.125,-1226,-895.25,1226,false,false,-736;-717;-770;-739;-866;-882;-1226;-1226,3.3794208
ApolloV2,Atlas,200000,8,3,6.375,282,357.375,478,false,false,478;402;389;365;365;291;287;282,3.4222121
ApolloV2,Minotaur,200000,8,3,6.5,-277,-330.375,397,false,false,-295;-378;-315;-329;-289;-397;-363;-277,2.535703
ApolloV2,Athena,200000,8,4,7.5,-365,-354.5,465,false,false,-265;-252;-308;-313;-454;-465;-414;-365,3.19525
ApolloV2,Apollo,200000,8,3,5.25,-641,-657.625,775,false,false,-542;-708;-729;-584;-775;-641;-641;-641,2.539771
ApolloV2,Demeter,200000,8,3,7.125,-310,-235.75,356,false,false,-281;-297;-193;-142;-356;-111;-196;-310,3.5955048
ApolloV2,Prometheus,200000,8,3,6.625,-442,-521.5,636,false,false,-636;-589;-595;-542;-501;-421;-446;-442,4.0476236
ApolloV2,Urania,200000,8,3,7.0,-1007,-918.875,1137,false,false,-541;-645;-824;-962;-1137;-1137;-1098;-1007,2.9019966
ApolloV2,Hermes,200000,8,3,5.0,577,711.375,840,false,false,840;729;713;682;703;711;736;577,7.3235197
ApolloV2,Hera,200000,8,3,5.875,158,189.375,257,false,false,225;181;193;257;142;229;130;158,3.0646613
ApolloV2,Limus,200000,8,4,7.75,-590,-422.375,590,false,false,-344;-333;-332;-519;-393;-401;-467;-590,2.8296402
ApolloV2,Hypnus,200000,8,3,7.625,-1062,-943.0,1062,false,false,-890;-843;-950;-880;-1044;-874;-1001;-1062,2.7780297
